Restaurant_Name,Date,ALL Rating,Review_Title,Caption,Total_Review,Address,Long,Lat,Cuisine,Food_rating,Service_Rating,Value_Rating,Atmosphere_Rating,Polarity_AFINN,AF_score_Review_Title,AF_keyword_Review_Title,Affin_Keyword,,Polarity_TB,Polarity_TB_Title,Polarity_TB_Average,TB_keyword,TB_keyword_title,Polarity_Vader,Vader_score_title,vader_score_detail,,Norm_AFINN,Norm_TB,Norm_VADER,Avg_Score,Sentiment,Aspect_Sentiment,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation,Affin_Keyword_clean,Affin_Keyword_title_clean,TB_keyword_clean,TB_keyword_title_clean,Aspect_Sentiment_clean,Aspect_Sentiment_value,Rest_CODE,Recommendation,TotalRecommendation,TB_Sentiment,Vader_Sentiment,AF_Sentiment
Balkanico,"March 14, 2020",5,Lovely atmosphere and great pizza,Lovely atmosphere and great pizza We had a pepperoni pizza to share and it was only 25RM - about Â£5 Beers are about Â£120 so would highly recommend it,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,9,6,"['lovely', 'great']","['lovely', 'great', 'share', 'recommend']",,0.365,0.65,0.5075,"[(['lovely'], 0.5, 0.75, None), (['great'], 0.8, 0.75, None), (['only'], 0.0, 1.0, None), (['highly'], 0.16, 0.5399999999999999, None)]","[(['lovely'], 0.5, 0.75, None), (['great'], 0.8, 0.75, None)]",0.921,0.836,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.921}",,0.59,0.6825,0.9605,0.744333333,Positive,"{'aspect': 'Beers', 'description': 'great', 'sentiment': 0.8}",0,0,0,0.333333333,0,0.333333333,0,0,0,0.166666667,0.166666667,lovely great share recommend,lovely great,lovely  great   highly ,lovely one great one,  eers   great    ,8,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"February 16, 2020",5,"Great food, relaxed atmosphere",The food was delicious and the service good Just a nice place to sit and watch the world go by with a cold beer in hand,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,9,5,"['great', 'relaxed']","['delicious', 'good', 'nice']",,0.425,0.8,0.6125,"[(['delicious'], 1.0, 1.0, None), (['good'], 0.7, 0.6000000000000001, None), (['nice'], 0.6, 1.0, None), (['cold'], -0.6, 1.0, None)]","[(['great'], 0.8, 0.75, None)]",0.9118,0.8074,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9118}",,0.59,0.7125,0.9559,0.7528,Positive,"{'aspect': 'world', 'description': 'cold', 'sentiment': -0.6}",0.066666667,0,0,0.133333333,0.066666667,0.266666667,0.066666667,0,0,0.266666667,0.133333333,delicious good nice,great relaxed,delicious  good  nice  cold ,great one,  world   cold    ,6,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"December 20, 2019",5,Great thin crust pizza,This isnât really a restaurant more of a street stall with seating but who cares if you like hand made thin crust pizza this is the place We demolished one and ordered two more The pepperoni is fantastic Definitely recommend,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,8,3,['great'],"['stall', 'cares', 'like', 'fantastic', 'recommend']",,0.2,0.2,0.2,"[(['really'], 0.2, 0.2, None), (['more'], 0.5, 0.5, None), (['thin'], -0.4, 0.8500000000000001, None), (['more'], 0.5, 0.5, None), (['fantastic'], 0.4, 0.9, None), (['definitely'], 0.0, 0.5, None)]","[(['great'], 0.8, 0.75, None), (['thin'], -0.4, 0.8500000000000001, None)]",0.9742,0.6249,"{'neg': 0.027, 'neu': 0.556, 'pos': 0.417, 'compound': 0.9742}",,0.58,0.6,0.9871,0.722366667,Positive,"{'aspect': '', 'description': 'fantastic', 'sentiment': 0.4}",0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,,stall cares like fantastic recommend,great,really   thin   fantastic  definitely ,great one thin one,     fantastic    ,4,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"December 14, 2019",5,Nice pizza and Tuak,The cafe is opposite a Chinese temle it is actually a performance stage for that Chinese temple so just look after the temple then you will find the cafe The pizza is good and best to serve with a local tuak,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,6,3,['nice'],"['good', 'best']",,0.242857143,0.6,0.421428571,"[(['opposite'], 0.0, 0.0, None), (['chinese'], 0.0, 0.0, None), (['actually'], 0.0, 0.1, None), (['chinese'], 0.0, 0.0, None), (['good'], 0.7, 0.6000000000000001, None), (['best'], 1.0, 0.3, None), (['local'], 0.0, 0.0, None)]","[(['nice'], 0.6, 1.0, None)]",0.7964,0.4215,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7964}",,0.56,0.621428571,0.8982,0.693209524,Positive,"{'aspect': 'pizza', 'description': 'local', 'sentiment': 0.0}",0,0,0,0.222222222,0.111111111,0.333333333,0.111111111,0,0,0.111111111,0.111111111,good best,nice,opposite  chinese  actually  chinese  good  best  local ,nice one,  pizza   local    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"October 26, 2019",5,Excellent,I had the beef pepperoni pizza (25RM) with fries and Vodka lime Delicious thin crust garlicky pizza Would recommend if youâre seeking a pizza fix,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,5,3,['excellent'],"['delicious', 'recommend']",,0.3,1,0.65,"[(['delicious'], 1.0, 1.0, None), (['thin'], -0.4, 0.8500000000000001, None)]","[(['excellent'], 1.0, 1.0, None)]",0.7351,0.5719,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.7351}",,0.55,0.65,0.86755,0.689183333,Positive,"{'aspect': 'pizza', 'description': 'garlicky', 'sentiment': 0.0}",0,0,0,0.5,0,0.5,0,0,0,0,,delicious recommend,excellent,delicious  thin ,excellent one,  pizza   garlicky    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"August 13, 2019",5,Perfect pizza amazing place good beer its enoufgg!,Best pizza in kuching good quality & good producthe made homemade massa pizza Really nice wite to eat,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,14,10,"['perfect', 'amazing', 'good']","['best', 'good', 'quality', 'good', 'nice']",,0.75,0.825,0.7875,"[(['best'], 1.0, 0.3, None), (['good'], 0.7, 0.6000000000000001, None), (['good'], 0.7, 0.6000000000000001, None), (['really', 'nice'], 0.6, 1.0, None)]","[(['perfect'], 1.0, 1.0, None), (['amazing'], 0.6000000000000001, 0.9, None), (['good', '!'], 0.875, 0.6000000000000001, None)]",0.92,0.8932,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.92}",,0.64,0.875,0.96,0.825,Positive,"{'aspect': 'pizza', 'description': 'Really nice', 'sentiment': 0.6}",0,0,0,0.181818182,0.181818182,0.272727273,0,0,0,0.181818182,0.181818182,best good quality good nice,perfect amazing good,best  good  good  really nice ,perfect one amazing one good one,  pizza   eally nice    ,6,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"March 26, 2019",5,"Great pizzas, happy childrenâ¤ï¸",Odd set up but it works! Buy your drinks first then come outside to order your pizza! We had Margherita pepperoni vegetarian and meat! Loved the thin base and the toppings were superð,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,1,6,"['great', 'happy']","['odd', 'loved']",,-0.076388889,0.8,0.361805556,"[(['odd', '!'], -0.20833333333333331, 0.25, None), (['first'], 0.25, 0.3333333333333333, None), (['outside', '!', '!'], 0.0, 0.05, None), (['loved'], 0.7, 0.8, None), (['thin'], -0.4, 0.8500000000000001, None), (['base'], -0.8, 1.0, None)]","[(['great'], 0.8, 0.75, None), (['happy'], 0.8, 1.0, None)]",0.7633,0.8316,"{'neg': 0.042, 'neu': 0.797, 'pos': 0.16, 'compound': 0.7633}",,0.51,0.461805556,0.88165,0.617818519,Positive,"{'aspect': '', 'description': 'thin', 'sentiment': -0.4}",0,0,0,1,0,0,0,0,0,0,,odd loved,great happy,odd  first  outside  loved  thin  base ,great one happy one,     thin    ,4,BAL,"The Junk, Bla Bla Bla",2,NEGATIVE,POSITIVE,POSITIVE
Balkanico,"October 3, 2018",5,Best pizzas in town,Super delicious excellent for me friendly guy price reasonable Have vegan choice too must try!!!,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,11,3,['best'],"['super', 'delicious', 'excellent', 'friendly']",,0.619791667,1,0.809895833,"[(['super'], 0.3333333333333333, 0.6666666666666666, None), (['delicious'], 1.0, 1.0, None), (['excellent'], 1.0, 1.0, None), (['friendly'], 0.375, 0.5, None), (['reasonable', '!', '!', '!'], 0.390625, 0.6, None)]","[(['best'], 1.0, 0.3, None)]",0.9466,0.6369,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.9466}",,0.61,0.809895833,0.9733,0.797731944,Positive,"{'aspect': '', 'description': 'reasonable', 'sentiment': 0.2}",0,0,0,0.2,0,0.4,0,0,0,0.3,0.1,super delicious excellent friendly,best,super  delicious  excellent  friendly  reasonable ,best one,     reasonable    ,2,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"October 3, 2018",5,Relatively very good,The pizza was very good definitely the tastiest pizza in the region I just wish it was more substantial because like most pizza in Malaysia it's quite thin compared to what I'm used to,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,7,3,['good'],"['good', 'wish', 'substantial', 'like']",,0.302,0.91,0.606,"[(['very', 'good'], 0.9099999999999999, 0.7800000000000001, None), (['definitely'], 0.0, 0.5, None), (['more'], 0.5, 0.5, None), (['most'], 0.5, 0.5, None), (['thin'], -0.4, 0.8500000000000001, None)]","[(['relatively', 'very', 'good'], 0.9099999999999999, 0.7800000000000001, None)]",0.9141,0.4927,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9141}",,0.57,0.651,0.95705,0.726016667,Positive,"{'aspect': 'pizza', 'description': 'quite thin', 'sentiment': -0.4}",0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,good wish substantial like,good,good  definitely    thin ,relatively good one,  pizza   quite thin    ,4,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"September 14, 2018",5,Excellent Pizzaaa,This is the one of the best pizza I ever try and definitely the best pizza in Kuching for sureBtw Alex is very nice guy and service is excellent!,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,12,3,['excellent'],"['best', 'best', 'nice', 'excellent']",,0.756,1,0.878,"[(['best'], 1.0, 0.3, None), (['definitely'], 0.0, 0.5, None), (['best'], 1.0, 0.3, None), (['very', 'nice'], 0.78, 1.0, None), (['excellent', '!'], 1.0, 1.0, None)]","[(['excellent'], 1.0, 1.0, None)]",0.9595,0.5719,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.9595}",,0.62,0.878,0.97975,0.825916667,Positive,"{'aspect': 'guy', 'description': 'excellent', 'sentiment': 1.0}",0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,,best best nice excellent,excellent,best  definitely  best  nice  excellent ,excellent one,  guy   excellent    ,10,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"June 15, 2018",4,Good,Nice location next to the cheap bar Pizza was nice but not amazing Good spot to watch sport and fairly reasonably priced,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,13,3,['good'],"['nice', 'nice', 'amazing', 'good']",,0.314285714,0.7,0.507142857,"[(['nice'], 0.6, 1.0, None), (['next'], 0.0, 0.0, None), (['cheap'], 0.4, 0.7, None), (['nice'], 0.6, 1.0, None), (['not', 'amazing'], -0.30000000000000004, 0.9, None), (['good'], 0.7, 0.6000000000000001, None), (['fairly', 'reasonably'], 0.2, 0.6, None)]","[(['good'], 0.7, 0.6000000000000001, None)]",-0.6616,0.4404,"{'neg': 0.249, 'neu': 0.62, 'pos': 0.131, 'compound': -0.6616}",,0.63,0.657142857,0.1692,0.485447619,Neutral,"{'aspect': 'location', 'description': 'Good', 'sentiment': 0.7}",0.2,0,0,0.2,0,0.2,0.2,0,0,0,0.2,nice nice amazing good,good,nice  next  cheap  nice  amazing  good  fairly reasonably ,good one,  location   ood    ,7,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,NEGATIVE,POSITIVE
Balkanico,"June 11, 2018",5,Delicious,We travelled out to grab some pizza and were not disappointed Fresh made pizza next to a bottle shop what more could you want? Strong reccomend,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,2,3,['delicious'],"['disappointed', 'fresh', 'want', 'strong']",,0.321666667,1,0.660833333,"[(['not', 'disappointed'], 0.375, 0.75, None), (['fresh'], 0.3, 0.5, None), (['next'], 0.0, 0.0, None), (['more'], 0.5, 0.5, None), (['strong'], 0.4333333333333333, 0.7333333333333333, None)]","[(['delicious'], 1.0, 1.0, None)]",0.6658,0.5719,"{'neg': 0.065, 'neu': 0.691, 'pos': 0.244, 'compound': 0.6658}",,0.52,0.660833333,0.8329,0.671244444,Positive,"{'aspect': '', 'description': 'Strong', 'sentiment': 0.4333333333333333}",0,0.333333333,0,0,0,0,0.333333333,0.166666667,0.166666667,0,,disappointed fresh want strong,delicious,disappointed  fresh  next   strong ,delicious one,     trong    ,4.33E+15,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"May 7, 2018",5,AWESOME!,One of the best pizza I ever ate! We needed to wait a little bit but it was definitely worth it Highly recommended!,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,7,4,['awesome'],"['best', 'worth', 'recommended']",,0.328125,1,0.6640625,"[(['best', '!'], 1.0, 0.3, None), (['little'], -0.1875, 0.5, None), (['definitely', 'worth'], 0.3, 0.1, None), (['highly', '!'], 0.2, 0.5399999999999999, None)]","[(['awesome', '!'], 1.0, 1.0, None)]",0.8939,0.6588,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.8939}",,0.57,0.6640625,0.94695,0.727004167,Positive,"{'aspect': '', 'description': 'worth', 'sentiment': 0.3}",0,0,0,0,0,0.333333333,0.333333333,0,0,0,0.333333333,best worth recommended,awesome,best  little  definitely worth  highly ,awesome one,     worth    ,3,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"April 20, 2018",5,Best pizza in town!!!!,The only place that serve you balkan pizza The chef is friendly Everyone that visit kuching should come and check this place out ððð,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,2,3,['best'],['friendly'],,0.1875,1,0.59375,"[(['only'], 0.0, 1.0, None), (['friendly'], 0.375, 0.5, None)]","[(['best', '!', '!', '!', '!'], 1.0, 0.3, None)]",0.4939,0.7482,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.4939}",,0.52,0.59375,0.74695,0.620233333,Positive,"{'aspect': 'chef', 'description': 'friendly', 'sentiment': 0.375}",0,0,0,0.285714286,0,0.285714286,0.142857143,0,0,0.142857143,0.142857143,friendly,best, friendly ,best one,  chef   friendly    ,375,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"April 17, 2018",4,Nice pizza,Nice pizza but rather expensive - around 20-25 Done on fresh air very good big pizza is good for two people,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,11,3,['nice'],"['nice', 'fresh', 'good', 'big', 'good']",,0.335,0.6,0.4675,"[(['nice'], 0.6, 1.0, None), (['expensive'], -0.5, 0.7, None), (['fresh'], 0.3, 0.5, None), (['very', 'good'], 0.9099999999999999, 0.7800000000000001, None), (['big'], 0.0, 0.1, None), (['good'], 0.7, 0.6000000000000001, None)]","[(['nice'], 0.6, 1.0, None)]",0.925,0.4215,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.925}",,0.61,0.6675,0.9625,0.746666667,Positive,"{'aspect': 'pizza', 'description': 'good', 'sentiment': 0.7}",0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,nice fresh good big good,nice,nice  expensive  fresh  good  big  good ,nice one,  pizza   good    ,7,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"April 8, 2018",5,Amazing Food,The pizza here was amazing But be prepared to wait for awhile But the wait is worth Will be visiting again soon,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,7,4,['amazing'],"['amazing', 'prepared', 'worth']",,0.45,0.6,0.525,"[(['amazing'], 0.6000000000000001, 0.9, None), (['worth'], 0.3, 0.1, None)]","[(['amazing'], 0.6000000000000001, 0.9, None)]",0.765,0.5859,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.765}",,0.57,0.725,0.8825,0.725833333,Positive,"{'aspect': 'wait', 'description': 'worth', 'sentiment': 0.3}",0,0,0,0.125,0,0.25,0.25,0,0,0,0.375,amazing prepared worth,amazing,amazing  worth ,amazing one,  wait   worth    ,3,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"March 26, 2018",5,The best pizza in town,Recommend by a friend for my birthday dinner No regret It is the best and most affordable pizza in town Looking forward to come back to this place again Highly recommended for those who love original Italian pizza serve locally here in kuching,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,10,3,['best'],"['recommend', 'friend', 'no', 'regret', 'best', 'affordable', 'recommended', 'love']",,0.316875,1,0.6584375,"[(['best'], 1.0, 0.3, None), (['most'], 0.5, 0.5, None), (['back'], 0.0, 0.0, None), (['highly'], 0.16, 0.5399999999999999, None), (['love'], 0.5, 0.6, None), (['original'], 0.375, 0.75, None), (['italian'], 0.0, 0.0, None), (['locally'], 0.0, 0.0, None)]","[(['best'], 1.0, 0.3, None)]",0.9259,0.6369,"{'neg': 0.087, 'neu': 0.591, 'pos': 0.322, 'compound': 0.9259}",,0.6,0.6584375,0.96295,0.7404625,Positive,"{'aspect': '', 'description': 'Italian', 'sentiment': 0.0}",0,0,0,0.133333333,0.066666667,0.333333333,0.133333333,0.066666667,0,0.2,0.066666667,recommend friend regret best affordable recommended love,best,best   back  highly  love  original  italian  locally ,best one,     talian    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"March 21, 2018",5,Oh yeah!,Agree the best pizza in Asia!!! Great job man So so tasty! Good beers in the shop Will come again Concept 100% cool,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,11,1,['yeah'],"['agree', 'best', 'great', 'good', 'cool']",,0.7625,0,0.38125,"[(['best', '!', '!', '!'], 1.0, 0.3, None), (['great', '!'], 1.0, 0.75, None), (['good'], 0.7, 0.6000000000000001, None), (['cool'], 0.35, 0.65, None)]",[],0.9566,0.3595,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.9566}",,0.61,0.88125,0.9783,0.823183333,Positive,"{'aspect': 'beers', 'description': 'cool', 'sentiment': 0.35}",0,0,0,0,0,1,0,0,0,0,,agree best great good cool,yeah,best  great  good  cool ,,  beers   cool    ,35,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"March 16, 2018",5,Best pizza in town,This is for sure the best place for pizza Affordable prices and amazing taste Good and thin crust good quality chesse and thats is Simple and tasty Recomended,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,17,3,['best'],"['best', 'affordable', 'amazing', 'good', 'good', 'quality']",,0.442857143,1,0.721428571,"[(['sure'], 0.5, 0.8888888888888888, None), (['best'], 1.0, 0.3, None), (['amazing'], 0.6000000000000001, 0.9, None), (['good'], 0.7, 0.6000000000000001, None), (['thin'], -0.4, 0.8500000000000001, None), (['good'], 0.7, 0.6000000000000001, None), (['simple'], 0.0, 0.35714285714285715, None)]","[(['best'], 1.0, 0.3, None)]",0.9442,0.6369,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.9442}",,0.67,0.721428571,0.9721,0.787842857,Positive,"{'aspect': '', 'description': 'tasty', 'sentiment': 0.0}",0,0,0,0.166666667,0.166666667,0.333333333,0,0,0,0.166666667,0.166666667,best affordable amazing good good quality,best,sure  best  amazing  good  thin  good  simple ,best one,     tasty    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"March 1, 2018",5,Great Pizza.. Great Guy,I went there on a recommendation Was not disappointed The pizza was really good and the atmosphere was great Got talking to the owner who was a really cool guy You can grab a beer from the Big Bottle and chill outside Will be back,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,6,6,"['great', 'great']","['disappointed', 'good', 'great', 'cool', 'big']",,0.317857143,0.8,0.558928571,"[(['not', 'disappointed'], 0.375, 0.75, None), (['really', 'good'], 0.7, 0.6000000000000001, None), (['great'], 0.8, 0.75, None), (['really', 'cool'], 0.35, 0.65, None), (['big'], 0.0, 0.1, None), (['outside'], 0.0, 0.05, None), (['back'], 0.0, 0.0, None)]","[(['great'], 0.8, 0.75, None), (['great'], 0.8, 0.75, None)]",0.9089,0.8481,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.9089}",,0.56,0.658928571,0.95445,0.724459524,Positive,"{'aspect': 'atmosphere', 'description': 'really cool', 'sentiment': 0.35}",0,0.142857143,0,0.071428571,0.071428571,0.214285714,0.142857143,0.071428571,0.071428571,0.142857143,0.071428571,disappointed good great cool big,great great,disappointed  really good  great  really cool  big  outside  back ,great one great one,  atmosphere   really cool    ,35,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"January 21, 2018",5,Best pizza in Kuching,I've eaten there many times Great thin crust pizza - huge selection of beers If you a looking for a great place to watch the street take an Uber and go there for dinner It's great,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,10,3,['best'],"['great', 'huge', 'great', 'great']",,0.483333333,1,0.741666667,"[(['many'], 0.5, 0.5, None), (['great'], 0.8, 0.75, None), (['thin'], -0.4, 0.8500000000000001, None), (['huge'], 0.4000000000000001, 0.9, None), (['great'], 0.8, 0.75, None), (['great'], 0.8, 0.75, None)]","[(['best'], 1.0, 0.3, None)]",0.9393,0.6369,"{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.9393}",,0.6,0.741666667,0.96965,0.770438889,Positive,"{'aspect': 'street', 'description': 'great', 'sentiment': 0.8}",0.333333333,0,0,0,0,0.333333333,0,0,0,0,0.333333333,great huge great great,best,many  great  thin  huge  great  great ,best one,  street   great    ,8,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"November 10, 2017",5,Best there is,This is the best pizza I have ever tastet went there 2 times in my 2 days stay When you get there order pizza from Balkanico and you can choose what to drink from an open bar solution,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,4,3,['best'],"['best', 'solution']",,0.5,1,0.75,"[(['best'], 1.0, 0.3, None), (['open'], 0.0, 0.5, None)]","[(['best'], 1.0, 0.3, None)]",0.7579,0.6369,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7579}",,0.54,0.75,0.87895,0.722983333,Positive,"{'aspect': 'tastet', 'description': 'open', 'sentiment': 0.0}",0,0,0,0,0,1,0,0,0,0,,best solution,best,best  open ,best one,  tastet   open    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"September 28, 2017",5,Excellent pizza,This roadside stall-come-restaurant is situated just outside a self-service drinks shop Chef is a friendly chap from montenegro Pizza base was beautifully thin very tasty and good value Really enjoyed this as a good western option washed down with a cold beer from next door!,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,11,3,['excellent'],"['stall', 'friendly', 'beautifully', 'good', 'enjoyed', 'good']",,0.043287037,1,0.521643519,"[(['outside'], 0.0, 0.05, None), (['friendly'], 0.375, 0.5, None), (['base'], -0.8, 1.0, None), (['beautifully', 'thin'], -0.4, 0.8500000000000001, None), (['very'], 0.2, 0.3, None), (['good'], 0.7, 0.6000000000000001, None), (['really', 'enjoyed'], 0.5, 0.7, None), (['good'], 0.7, 0.6000000000000001, None), (['western'], 0.0, 0.0, None), (['down'], -0.15555555555555559, 0.2888888888888889, None), (['cold'], -0.6, 1.0, None), (['next', '!'], 0.0, 0.0, None)]","[(['excellent'], 1.0, 1.0, None)]",0.9613,0.5719,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.9613}",,0.61,0.521643519,0.98065,0.70409784,Positive,"{'aspect': 'value', 'description': 'next', 'sentiment': 0.0}",0,0,0,0.2,0.1,0.3,0.05,0,0,0.2,0.15,stall friendly beautifully good enjoyed good,excellent,outside  friendly  base  beautifully thin   good  really enjoyed  good  western   cold  next ,excellent one,  value   next    ,0,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
Balkanico,"September 25, 2017",5,Best pizza in Kuching,Ex-pat here in Kuching making some great authentic Mediterranean pizza Great dough nice thin crust and lots of variety The stall is just in front of Big Bottle which has a great selection of beer,132,"Wayang Street, Kuching 93100 Malaysia",1.558033233,110.346677,Pizza,5,4.5,5,Null,11,3,['best'],"['great', 'great', 'nice', 'stall', 'big', 'great']",,0.442857143,1,0.721428571,"[(['great'], 0.8, 0.75, None), (['authentic'], 0.5, 0.75, None), (['great'], 0.8, 0.75, None), (['nice'], 0.6, 1.0, None), (['thin'], -0.4, 0.8500000000000001, None), (['big'], 0.0, 0.1, None), (['great'], 0.8, 0.75, None)]","[(['best'], 1.0, 0.3, None)]",0.936,0.6369,"{'neg': 0.039, 'neu': 0.632, 'pos': 0.329, 'compound': 0.936}",,0.61,0.721428571,0.968,0.76647619,Positive,"{'aspect': 'stall', 'description': 'great', 'sentiment': 0.8}",0,0,0,0.166666667,0,0.333333333,0,0,0.166666667,0.333333333,,great great nice stall big great,best,great  authentic  great  nice  thin  big  great ,best one,  stall   great    ,8,BAL,"The Junk, Bla Bla Bla",2,POSITIVE,POSITIVE,POSITIVE
